club_id,canonical_name,purchasable,ownership_note,ground_tenure,tenure_source_url,peak_tier_entity,entity_note
maidstone-united-fc,Maidstone United,yes,"Ash and Casey have publicly sought a majority sale since 2025 with parties in due diligence; no golden share found",freehold,https://www.kentonline.co.uk/maidstone/sport/grounds-for-celebration-270237/,predecessor,"1980-92 rows belong to the club that resigned from the League in 1992 and folded; current company incorporated 1999, real ceiling tier 5. Sellers have offered to divest the club while RETAINING the stadium freehold"
morecambe-fc,Morecambe,yes,"100% of shares held by Panjab Warriors Sports Ltd; no trust stake and no golden share; but no live sale process",leasehold_long,https://shrimpstrust.co.uk/jb-christie-trust/,same,"125-year rent-free lease from the J.B. Christie Trust, ~109 years unexpired, football-only covenant so no land value. IFR censure, three embargoes in twelve months, pensions default"
southport-fc,Southport,unknown,"Malone and Cunningham took control June 2025; no sale process; Jan 2026 forum floated investment 'without unsettling the balance of control' - dilution, not a control sale",leasehold_long,https://en.wikipedia.org/wiki/Haig_Avenue,same,"Sefton Council freehold since 1919. Lease term is NOT on the public record - the single decisive unknown for EFL security-of-tenure"
macclesfield-town-fc,Macclesfield Town,unknown,"Control moved to Ama Singh (41%, ASG Holdings Jersey) Feb 2026; founder Smethurst off the board, hostile, under criminal investigation; seven-way cap table in open dispute",freehold,https://en.wikipedia.org/wiki/Moss_Rose,predecessor,"Standings belong to Macclesfield Town, wound up 2020. Macc FC is a 2020 company that re-entered at step 5. Ground probably held by the club company - unverified at Land Registry"
dagenham-and-redbridge-fc,Dagenham & Redbridge,no,"Control settled February 2026 with Happy Fan Group; KSI took ~20% in March 2026 with public Premier League claims. No distressed seller - a post-hype price",unknown,,predecessor,"1982-88 rows are Dagenham FC, a pre-merger parent, while merger partner Redbridge Forest has its own club_id. Four clubs at or above its level within 8 miles - the most contested position in the screen"
torquay-united-fc,Torquay United,no,"Bryn Consortium holds 86.15% via Big in Business Ltd, two years into a turnaround and converting its own loans to equity. TUST golden share vetoes name, badge, colours AND stadium",leasehold_long,https://en.wikipedia.org/wiki/Plainmoor,same,"Torbay Council freehold, lease to 2081, reset to 125 years under negotiation. Structural operating deficit ~£0.4-0.5m a year with no asset backing"
darlington-fc,Darlington,no,"Darlington 1883 Supporters' Society holds 91.66% of shares and ~90% of votes, with a 5% cap on any individual and a community-benefit asset lock",leasehold_short,https://en.wikipedia.org/wiki/Blackwell_Meadows,predecessor,"54 standings rows belong to the pre-2012 company; the phoenix restarted in tier 9. Groundshare tenant of Darlington RFC WITHOUT primacy of tenure - already barred from the 2017 play-offs on grading"
bury-fc,Bury,no,"Holding company is limited by guarantee with NO share capital - there is no equity instrument to buy. Controlled by a community benefit society, one member one vote, non-transferable; sale prohibited by the Articles",freehold,https://www.skysports.com/football/news/11774/12545644/bury-fc-fans-group-est-1885-complete-gigg-lane-purchase,predecessor,"Standings belong to the club expelled in 2019. Gigg Lane bought out of administration in 2022, half-funded by a £1m Community Ownership Fund grant, and constitutionally cannot be mortgaged"
hereford-united-fc,Hereford United,no,"Hereford United Supporters' Trust holds 50% and the Articles cap any single holder at 49% - no controlling stake exists to acquire",leasehold_long,https://www.herefordshire.gov.uk/news/article/1738/back-of-the-net-long-lease-confirmed-for-hereford-fc,predecessor,"Standings belong to Hereford United, wound up 2014 with ~1,000 creditors. Hereford FC is a separate company that entered at tier 9. Lease to 2070 clears the EFL tenure test comfortably"
chester-city-fc,Chester City,no,"Chester City Supporters Society Ltd (FCA 29159R), one member one vote, £1 membership share. A funded 2020 takeover bid was withdrawn when control proved unobtainable",council,https://www.placenorthwest.co.uk/cheshire-west-regains-control-of-deva-stadium/,predecessor,"Rows to 2009 are Chester City; the 2014-18 rows are Chester FC, the 2010 phoenix, folded into the same id. Ground straddles the England-Wales border: pitch in Flintshire, entrance in England"
rushden-and-diamonds-fc,Rushden & Diamonds,no,"AFC Rushden & Diamonds is a supporter-owned Community Benefit Society - one fan, one vote",leasehold_short,https://en.wikipedia.org/wiki/AFC_Rushden_%26_Diamonds,predecessor,"Nene Park demolished 2017 and the 22-acre site is still vacant, two-thirds in flood zones. Successor groundshares at Hayden Road, tier 9"
scarborough-fc,Scarborough,no,"Scarborough Athletic FC Society Ltd - 100% fan-owned registered society, £1 shares, one member one vote, no majority holding possible",council,https://en.wikipedia.org/wiki/Scarborough_Sports_Village,predecessor,"McCain Stadium demolished 2011, site is housing and a supermarket. Successor is a 2007 society playing at a council-owned stadium; exiled to Bridlington for all of 2025/26 by a defect in the council's asset"
